# This file was produced by bcftools stats (1.23.1+htslib-1.23.1) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  snps_PASS_geno50Filtered.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	snps_PASS_geno50Filtered.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	8
SN	0	number of records:	454149
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	454149
SN	0	number of MNPs:	0
SN	0	number of indels:	0
SN	0	number of others:	0
SN	0	number of multiallelic sites:	0
SN	0	number of multiallelic SNP sites:	0
# TSTV, transitions/transversions
#   - transitions, see https://en.wikipedia.org/wiki/Transition_(genetics)
#   - transversions, see https://en.wikipedia.org/wiki/Transversion
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	306578	147571	2.08	306578	147571	2.08
# SiS, Singleton stats:
#   - allele count, i.e. the number of singleton genotypes (AC=1)
#   - number of transitions, see above
#   - number of transversions, see above
#   - repeat-consistent, inconsistent and n/a: experimental and useless stats [DEPRECATED]
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	18423	11398	7025	0	0	0	0
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	18423	11398	7025	0	0	0	0
AF	0	0.120000	16185	10662	5523	0	0	0	0
AF	0	0.140000	44	24	20	0	0	0	0
AF	0	0.160000	2	2	0	0	0	0	0
AF	0	0.180000	15722	10479	5243	0	0	0	0
AF	0	0.210000	32	18	14	0	0	0	0
AF	0	0.240000	15918	10839	5079	0	0	0	0
AF	0	0.280000	42	21	21	0	0	0	0
AF	0	0.300000	18291	12628	5663	0	0	0	0
AF	0	0.330000	873	489	384	0	0	0	0
AF	0	0.350000	40	22	18	0	0	0	0
AF	0	0.370000	24294	16732	7562	0	0	0	0
AF	0	0.410000	4	3	1	0	0	0	0
AF	0	0.420000	39	27	12	0	0	0	0
AF	0	0.430000	41326	28562	12764	0	0	0	0
AF	0	0.490000	241094	159505	81589	0	0	0	0
AF	0	0.550000	21251	15396	5855	0	0	0	0
AF	0	0.560000	36	23	13	0	0	0	0
AF	0	0.570000	6	1	5	0	0	0	0
AF	0	0.610000	13746	9909	3837	0	0	0	0
AF	0	0.630000	6	3	3	0	0	0	0
AF	0	0.660000	43	28	15	0	0	0	0
AF	0	0.680000	8603	6390	2213	0	0	0	0
AF	0	0.700000	4	2	2	0	0	0	0
AF	0	0.740000	5238	3924	1314	0	0	0	0
AF	0	0.770000	3	2	1	0	0	0	0
AF	0	0.800000	2966	2232	734	0	0	0	0
AF	0	0.820000	20	13	7	0	0	0	0
AF	0	0.840000	5	3	2	0	0	0	0
AF	0	0.860000	2306	1713	593	0	0	0	0
AF	0	0.920000	1691	1231	460	0	0	0	0
AF	0	0.990000	5896	4297	1599	0	0	0	0
# QUAL, Stats by quality
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	39.0	9	4	5	0
QUAL	0	40.0	45	25	20	0
QUAL	0	41.0	4	3	1	0
QUAL	0	41.7	1	1	0	0
QUAL	0	42.0	7	6	1	0
QUAL	0	43.0	37	26	11	0
QUAL	0	44.0	2	0	2	0
QUAL	0	45.0	6	5	1	0
QUAL	0	46.0	51	35	16	0
QUAL	0	46.1	1	1	0	0
QUAL	0	46.8	2	1	1	0
QUAL	0	47.0	8	6	2	0
QUAL	0	48.0	17	11	6	0
QUAL	0	48.2	1	0	1	0
QUAL	0	49.0	27	18	9	0
QUAL	0	49.3	1	0	1	0
QUAL	0	50.0	8	8	0	0
QUAL	0	50.4	1	0	1	0
QUAL	0	50.8	1	0	1	0
QUAL	0	51.0	19	14	5	0
QUAL	0	51.3	2	2	0	0
QUAL	0	51.8	1	1	0	0
QUAL	0	52.0	84	51	33	0
QUAL	0	52.3	5	4	1	0
QUAL	0	53.0	5	2	3	0
QUAL	0	54.0	17	10	7	0
QUAL	0	54.2	1	1	0	0
QUAL	0	55.0	84	44	40	0
QUAL	0	55.3	8	7	1	0
QUAL	0	56.0	8	6	2	0
QUAL	0	56.3	1	1	0	0
QUAL	0	56.5	1	1	0	0
QUAL	0	57.0	24	17	7	0
QUAL	0	57.2	1	0	1	0
QUAL	0	58.0	61	35	26	0
QUAL	0	58.3	7	5	2	0
QUAL	0	58.4	1	0	1	0
QUAL	0	58.6	1	1	0	0
QUAL	0	59.0	9	1	8	0
QUAL	0	59.5	1	0	1	0
QUAL	0	60.0	27	15	12	0
QUAL	0	60.2	2	1	1	0
QUAL	0	60.8	1	1	0	0
QUAL	0	61.0	69	41	28	0
QUAL	0	62.0	12	8	4	0
QUAL	0	63.0	33	23	10	0
QUAL	0	63.2	3	2	1	0
QUAL	0	63.5	1	0	1	0
QUAL	0	64.0	72	45	27	0
QUAL	0	65.0	13	10	3	0
QUAL	0	65.4	1	1	0	0
QUAL	0	66.0	35	22	13	0
QUAL	0	66.2	1	1	0	0
QUAL	0	67.0	72	43	29	0
QUAL	0	67.1	1	1	0	0
QUAL	0	67.2	1	0	1	0
QUAL	0	68.0	9	7	2	0
QUAL	0	68.4	1	0	1	0
QUAL	0	69.0	30	18	12	0
QUAL	0	69.8	1	0	1	0
QUAL	0	70.0	91	58	33	0
QUAL	0	70.3	1	0	1	0
QUAL	0	71.0	11	5	6	0
QUAL	0	72.0	32	25	7	0
QUAL	0	72.2	9	4	5	0
QUAL	0	72.9	1	1	0	0
QUAL	0	73.0	80	51	29	0
QUAL	0	73.4	1	1	0	0
QUAL	0	74.0	9	5	4	0
QUAL	0	74.5	1	0	1	0
QUAL	0	75.0	27	16	11	0
QUAL	0	75.2	3	2	1	0
QUAL	0	76.0	74	43	31	0
QUAL	0	77.0	7	5	2	0
QUAL	0	78.0	30	21	9	0
QUAL	0	78.2	4	1	3	0
QUAL	0	78.3	2	0	2	0
QUAL	0	79.0	76	48	28	0
QUAL	0	79.2	1	0	1	0
QUAL	0	80.0	22	17	5	0
QUAL	0	81.0	47	30	17	0
QUAL	0	81.2	5	4	1	0
QUAL	0	81.3	2	2	0	0
QUAL	0	82.0	79	51	28	0
QUAL	0	82.1	1	1	0	0
QUAL	0	82.5	1	1	0	0
QUAL	0	83.0	22	11	11	0
QUAL	0	83.3	1	1	0	0
QUAL	0	84.0	44	34	10	0
QUAL	0	84.2	4	3	1	0
QUAL	0	85.0	83	49	34	0
QUAL	0	86.0	16	8	8	0
QUAL	0	86.2	1	1	0	0
QUAL	0	86.3	1	1	0	0
QUAL	0	86.4	1	1	0	0
QUAL	0	87.0	33	25	8	0
QUAL	0	87.8	1	1	0	0
QUAL	0	88.0	86	60	26	0
QUAL	0	88.3	6	5	1	0
QUAL	0	89.0	7	4	3	0
QUAL	0	89.2	1	1	0	0
QUAL	0	89.5	1	1	0	0
QUAL	0	90.0	30	19	11	0
QUAL	0	90.2	4	3	1	0
QUAL	0	90.3	3	1	2	0
