# This file was produced by bcftools stats (1.23.1+htslib-1.23.1) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  snps_PASS_biallelic.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	snps_PASS_biallelic.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	8
SN	0	number of records:	11577586
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	11577586
SN	0	number of MNPs:	0
SN	0	number of indels:	0
SN	0	number of others:	0
SN	0	number of multiallelic sites:	0
SN	0	number of multiallelic SNP sites:	0
# TSTV, transitions/transversions
#   - transitions, see https://en.wikipedia.org/wiki/Transition_(genetics)
#   - transversions, see https://en.wikipedia.org/wiki/Transversion
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	8218476	3359110	2.45	8218476	3359110	2.45
# SiS, Singleton stats:
#   - allele count, i.e. the number of singleton genotypes (AC=1)
#   - number of transitions, see above
#   - number of transversions, see above
#   - repeat-consistent, inconsistent and n/a: experimental and useless stats [DEPRECATED]
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	1693581	1173169	520412	0	0	0	0
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	1693581	1173169	520412	0	0	0	0
AF	0	0.120000	1262685	905599	357086	0	0	0	0
AF	0	0.140000	77870	50641	27229	0	0	0	0
AF	0	0.160000	25436	15013	10423	0	0	0	0
AF	0	0.180000	1078924	775666	303258	0	0	0	0
AF	0	0.190000	15722	8944	6778	0	0	0	0
AF	0	0.210000	60572	40157	20415	0	0	0	0
AF	0	0.240000	926798	660802	265996	0	0	0	0
AF	0	0.280000	52511	34917	17594	0	0	0	0
AF	0	0.290000	10119	6238	3881	0	0	0	0
AF	0	0.300000	697478	498946	198532	0	0	0	0
AF	0	0.330000	25376	15049	10327	0	0	0	0
AF	0	0.350000	43884	29102	14782	0	0	0	0
AF	0	0.370000	632245	450263	181982	0	0	0	0
AF	0	0.390000	8173	5124	3049	0	0	0	0
AF	0	0.410000	12015	7625	4390	0	0	0	0
AF	0	0.420000	40599	27137	13462	0	0	0	0
AF	0	0.430000	532885	379478	153407	0	0	0	0
AF	0	0.490000	756875	521492	235383	0	0	0	0
AF	0	0.550000	377772	271407	106365	0	0	0	0
AF	0	0.560000	21279	14428	6851	0	0	0	0
AF	0	0.570000	5131	3249	1882	0	0	0	0
AF	0	0.590000	2982	1843	1139	0	0	0	0
AF	0	0.610000	339769	243687	96082	0	0	0	0
AF	0	0.630000	16272	11069	5203	0	0	0	0
AF	0	0.660000	6421	4073	2348	0	0	0	0
AF	0	0.680000	285227	205575	79652	0	0	0	0
AF	0	0.690000	2230	1404	826	0	0	0	0
AF	0	0.700000	13679	9273	4406	0	0	0	0
AF	0	0.740000	277211	199069	78142	0	0	0	0
AF	0	0.770000	10586	7199	3387	0	0	0	0
AF	0	0.790000	2076	1322	754	0	0	0	0
AF	0	0.800000	254564	184179	70385	0	0	0	0
AF	0	0.820000	3812	2431	1381	0	0	0	0
AF	0	0.840000	9050	6061	2989	0	0	0	0
AF	0	0.860000	234645	169260	65385	0	0	0	0
AF	0	0.890000	906	544	362	0	0	0	0
AF	0	0.900000	1484	957	527	0	0	0	0
AF	0	0.910000	5986	4006	1980	0	0	0	0
AF	0	0.920000	221591	160377	61214	0	0	0	0
AF	0	0.990000	1531165	1111701	419464	0	0	0	0
# QUAL, Stats by quality
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	30.0	1804	1049	755	0
QUAL	0	30.1	539	223	316	0
QUAL	0	30.2	369	123	246	0
QUAL	0	30.3	225	61	164	0
QUAL	0	30.4	276	87	189	0
QUAL	0	30.5	163	58	105	0
QUAL	0	30.6	362	98	264	0
QUAL	0	30.7	213	45	168	0
QUAL	0	30.8	464	220	244	0
QUAL	0	30.9	269	63	206	0
QUAL	0	31.0	961	399	562	0
QUAL	0	31.1	427	145	282	0
QUAL	0	31.2	255	91	164	0
QUAL	0	31.3	226	60	166	0
QUAL	0	31.4	424	159	265	0
QUAL	0	31.5	288	103	185	0
QUAL	0	31.6	428	145	283	0
QUAL	0	31.7	224	67	157	0
QUAL	0	31.8	399	133	266	0
QUAL	0	31.9	465	197	268	0
QUAL	0	32.0	961	443	518	0
QUAL	0	32.1	426	153	273	0
QUAL	0	32.2	724	369	355	0
QUAL	0	32.3	314	118	196	0
QUAL	0	32.4	335	124	211	0
QUAL	0	32.5	341	148	193	0
QUAL	0	32.6	1289	674	615	0
QUAL	0	32.7	418	201	217	0
QUAL	0	32.8	540	230	310	0
QUAL	0	32.9	312	104	208	0
QUAL	0	33.0	2060	1247	813	0
QUAL	0	33.1	705	327	378	0
QUAL	0	33.2	430	184	246	0
QUAL	0	33.3	297	113	184	0
QUAL	0	33.4	305	99	206	0
QUAL	0	33.5	439	221	218	0
QUAL	0	33.6	482	205	277	0
QUAL	0	33.7	293	111	182	0
QUAL	0	33.8	536	252	284	0
QUAL	0	33.9	342	127	215	0
QUAL	0	34.0	5538	3164	2374	0
QUAL	0	34.1	2267	1277	990	0
QUAL	0	34.2	1080	569	511	0
QUAL	0	34.3	513	230	283	0
QUAL	0	34.4	719	358	361	0
QUAL	0	34.5	310	138	172	0
QUAL	0	34.6	602	276	326	0
QUAL	0	34.7	242	95	147	0
QUAL	0	34.8	2658	1510	1148	0
QUAL	0	34.9	651	325	326	0
QUAL	0	35.0	852	382	470	0
QUAL	0	35.1	384	142	242	0
QUAL	0	35.2	570	296	274	0
QUAL	0	35.3	304	109	195	0
QUAL	0	35.4	327	154	173	0
QUAL	0	35.5	465	215	250	0
QUAL	0	35.6	1240	622	618	0
QUAL	0	35.7	415	197	218	0
QUAL	0	35.8	450	180	270	0
QUAL	0	35.9	476	199	277	0
QUAL	0	36.0	2364	1534	830	0
QUAL	0	36.1	669	324	345	0
QUAL	0	36.2	356	152	204	0
QUAL	0	36.3	230	84	146	0
QUAL	0	36.4	282	121	161	0
QUAL	0	36.5	420	200	220	0
QUAL	0	36.6	398	175	223	0
QUAL	0	36.7	263	113	150	0
QUAL	0	36.8	611	319	292	0
QUAL	0	36.9	275	114	161	0
QUAL	0	37.0	5037	2918	2119	0
QUAL	0	37.1	2020	1084	936	0
QUAL	0	37.2	892	467	425	0
QUAL	0	37.3	458	216	242	0
QUAL	0	37.4	615	314	301	0
QUAL	0	37.5	318	141	177	0
QUAL	0	37.6	543	250	293	0
QUAL	0	37.7	223	89	134	0
QUAL	0	37.8	2407	1354	1053	0
QUAL	0	37.9	551	279	272	0
QUAL	0	38.0	746	382	364	0
QUAL	0	38.1	345	151	194	0
QUAL	0	38.2	443	233	210	0
QUAL	0	38.3	223	95	128	0
QUAL	0	38.4	269	138	131	0
QUAL	0	38.5	323	167	156	0
QUAL	0	38.6	1112	578	534	0
QUAL	0	38.7	368	180	188	0
QUAL	0	38.8	452	220	232	0
QUAL	0	38.9	527	246	281	0
QUAL	0	39.0	2739	1836	903	0
QUAL	0	39.1	603	334	269	0
QUAL	0	39.2	366	159	207	0
QUAL	0	39.3	203	87	116	0
QUAL	0	39.4	245	126	119	0
QUAL	0	39.5	383	187	196	0
QUAL	0	39.6	373	158	215	0
QUAL	0	39.7	213	77	136	0
QUAL	0	39.8	510	241	269	0
QUAL	0	39.9	240	101	139	0
QUAL	0	40.0	4508	2642	1866	0
QUAL	0	40.1	1778	990	788	0
QUAL	0	40.2	650	344	306	0
QUAL	0	40.3	443	217	226	0
QUAL	0	40.4	502	272	230	0
QUAL	0	40.5	239	113	126	0
QUAL	0	40.6	466	209	257	0
QUAL	0	40.7	212	93	119	0
QUAL	0	40.8	2062	1170	892	0
QUAL	0	40.9	494	247	247	0
QUAL	0	41.0	741	406	335	0
QUAL	0	41.1	312	141	171	0
QUAL	0	41.2	428	196	232	0
QUAL	0	41.3	200	94	106	0
QUAL	0	41.4	238	109	129	0
QUAL	0	41.5	348	157	191	0
QUAL	0	41.6	974	519	455	0
QUAL	0	41.7	284	144	140	0
QUAL	0	41.8	354	170	184	0
